column,unique_count
id,298450
latitude,177983
longitude,177378
location,10942
vehicle_number,231890
vehicle_type,22
description,0
violation_type,991
offence_code,991
created_datetime,94417
closed_datetime,0
modified_datetime,298450
device_id,3070
created_by_id,2666
center_code,52
police_station,54
data_sent_to_scita,2
junction_name,169
action_taken_timestamp,0
data_sent_to_scita_timestamp,42161
updated_vehicle_number,143133
updated_vehicle_type,22
validation_status,5
validation_timestamp,170115
